ind	experiment	pop	group	angsd_name
Havre-B-08	Novaseq	Havre_B	Le Havre	ind103
Havre-C-06	Novaseq	Havre_C	Le Havre	ind104
Havre-E-05	Novaseq	Havre_E	Le Havre	ind105
Havre-F-11	Novaseq	Havre_F	Le Havre	ind106
Havre-G-13	Novaseq	Havre_G	Le Havre	ind107
Havre-J-08	Novaseq	Havre-J	Le Havre	ind108
LeHaP11-13	Novaseq	LeHaP11	Le Havre	ind109
LeHaP2-03	Novaseq	LeHaP2	Le Havre	ind110
LeHaP3-10	Novaseq	LeHaP3	Le Havre	ind111
LeHaP4-08	Novaseq	LeHaP4	Le Havre	ind112
LeHaP9-13	Novaseq	LeHaP9	Le Havre	ind113
QNT-03	Novaseq	QNT	M edu America	ind114
SHM-02	Novaseq	SHM	M edu America	ind115
Bodo-13	Novaseq	Bodo	M edu Europe North	ind116
Ouis-01	Novaseq	Ouistreham	M edu Europe South	ind117
Revi-01	Novaseq	Reville	M edu Europe South	ind118
Brest-18-10	Novaseq	Brest-18	M galloprovincialis Atl Brittany	ind119
Brest-21-06	Novaseq	Brest-21	M galloprovincialis Atl Brittany	ind120
COR-05	Novaseq	Coruña	M galloprovincialis Atl South	ind121
PEN-01	Novaseq	Peniche	M galloprovincialis Atl South	ind122
Her-19	Novaseq	Heraklion	M galloprovincialis Med	ind123
Th16-04	Novaseq	Th16	M galloprovincialis Med	ind124
GA-05	Novaseq	GA	Norway admixed	ind125
GA-12	Novaseq	GA	Norway admixed	ind126
GA-19	Novaseq	GA	Norway admixed	ind127
GA-29	Novaseq	GA	Norway admixed	ind128
StMalo-01	Novaseq	StMalo	StMalo	ind129
StMalo-04	Novaseq	StMalo	StMalo	ind130
StMalo-07	Novaseq	StMalo	StMalo	ind131
StMalo-08	Novaseq	StMalo	StMalo	ind132
StMalo-09	Novaseq	StMalo	StMalo	ind133
StMalo-10	Novaseq	StMalo	StMalo	ind134
B-amont-02	Novaseq	B_amont	Le Havre	ind135
Mcalif-AK-08	Novaseq	Alaska	M californianus	ind136
Mcalif-PB-41	Novaseq	Punta Baja	M californianus	ind137
RET-01	Novaseq	Retinskoye	M edu Europe North	ind138
RET-14	Novaseq	Retinskoye	M trossulus	ind139
StLau-TD-27	Novaseq	Saint Laurent Tadoussac	M trossulus	ind140
LOF-01	Novaseq	Lofoten	Norway admixed	ind141
LOF-03	Novaseq	Lofoten	Norway admixed	ind142
LOF-04	Novaseq	Lofoten	Norway admixed	ind143
1642-AF-101	Mgallo	Carlos_atl	M galloprovincialis Atl South	ind144
1642-AF-102	Mgallo	Carlos_atl	M galloprovincialis Atl South	ind145
1642-AF-103	Mgallo	Carlos_atl	M galloprovincialis Atl South	ind146
1642-AF-104	Mgallo	Carlos_atl	M galloprovincialis Atl South	ind147
1642-AF-105	Mgallo	Carlos_atl	M galloprovincialis Atl South	ind148
1642-AF-106	Mgallo	Carlos_atl	M galloprovincialis Atl South	ind149
1642-AF-107	Mgallo	Carlos_med	M galloprovincialis Med	ind150
1642-AF-108	Mgallo	Carlos_med	M galloprovincialis Med	ind151
1642-AF-109	Mgallo	Carlos_med	M galloprovincialis Med	ind152
1642-AF-110	Mgallo	Carlos_med	M galloprovincialis Med	ind153
1642-AF-111	Mgallo	Carlos_med	M galloprovincialis Med	ind154
1642-AF-112	Mgallo	Carlos_med	M galloprovincialis Med	ind155
