ind	experiment	pop
DDE12	ellis	DDE
DDE13	ellis	DDE
DDE15	ellis	DDE
DDE20	ellis	DDE
DDE27	ellis	DDE
DDE2	ellis	DDE
Fin1	ellis	Fin
Fin2	ellis	Fin
Fin3	ellis	Fin
Fin4	ellis	Fin
Fin5	ellis	Fin
Fin6	ellis	Fin
GR10	ellis	GR
GR14	ellis	GR
GR22	ellis	GR
GR2	ellis	GR
GR4	ellis	GR
GR7	ellis	GR
OA1	ellis	OA
OA2	ellis	OA
OA3	ellis	OA
OA4	ellis	OA
OA5	ellis	OA
OA6	ellis	OA
SW12	ellis	SW
SW21	ellis	SW
SW24	ellis	SW
SW3	ellis	SW
SW6	ellis	SW
SW7	ellis	SW
VG12	ellis	VG
VG13	ellis	VG
VG14	ellis	VG
VG15	ellis	VG
VG16	ellis	VG
VG4	ellis	VG
BBC1	ellis	BBC
BBC2	ellis	BBC
BBC3	ellis	BBC
BBC4	ellis	BBC
BBC5	ellis	BBC
BBC6	ellis	BBC
BBH1	ellis	BBH
BBH2	ellis	BBH
BBH3	ellis	BBH
BBH4	ellis	BBH
BBH5	ellis	BBH
BBH6	ellis	BBH
Mco_M156    SRA Mco
